name;cooking_time;description;ingredients;categories
кровавая мэри;5;Поместите в высокий стеклянный стакан кубики льда, а затем добавьте смесь всех жидких ингредиентов. Тщательно смешайте ингредиенты. Если у вас есть шейкер, воспользуйтесь им. Добавьте приправы и отрегулируйте их количество по вашему вкусу, снова перемешайте. При подаче готовый коктейль «Кровавая Мэри» украсьте долькой лимона, стеблем сельдерея или ломтиком маринованного огурца.;водка:45 мл.:False,сок томатный:90 мл.:False,сок лимонный:15 мл.:False,вустерский соус:по вкусу:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,острый соус:по вкусу:False,огурец:для подачи:True,лимон:для подачи:True;напиток,овощи
ватрушки;120; Замочить изюм, промытый под краном до чистой воды. Через час воду можно поменять. Для сдобного теста нужно поставить опару, тогда ватрушки хорошо поднимутся и будут пористыми на разломе. Для приготовления опары смешать свежие дрожжи со столовой ложкой сахара. Воду, молоко смешать. Подогреть немного на водяной бане, чтобы температура не превышала 40 градусов, иначе дрожжи погибнут. Жидкость смешать с дрожжами. Всыпать несколько ложек муки и перемешать до однородности. Опара по густоте должна напоминать сметану. Миску поставить в теплое место. Как только дрожжи активизируются, образуются пузырьки. Опара немного увеличится в объеме. Пока опара поднимается, нужно оставить масло при комнатной температуре. Опару смешать с яйцами, размягченным сливочным маслом. Положить туда же остаток сахарного песка, соль, все перемешать. Муку просеять и понемногу добавлять в тесто. Как только оно достигнет достаточно густой консистенции (ориентироваться нужно именно на нее), его выкладывают на подпыленный мукой стол и начинают вымешивать. Эта процедура длится, в зависимости от количества и качества теста 10-20 минут. Готовое тесто нужно убрать в теплое место. Пока тесто подходит, необходимо сделать начинку. Творог протереть через сито или взбить погружным блендером. Добавить, сахар, половину взбитого яйца, размоченный и обсушенный изюм, сливочное масло, щепотку соли. Через 30-40 минут поднявшееся тесто нужно обмять и разделить на колобки, размером с теннисный мяч. Для ватрушек в тесте делают углубления, куда затем нужно поместить начинку. Ватрушки смазать оставшейся половиной взбитого яйца, разведенного 3 столовыми ложками молока. Выпекать в духовке при температуре 200 градусов. Готовые горячие ватрушки нужно смазать сливочным маслом.;мука:400 г.:False,вода:1/2 стакана:False,молоко:1/2 стакана:False,дрожжи свежие:30 г.:False,яйцо:3 шт.:False,масло сливочное:150 г.:False,сахар:160 г.:False,соль:1/2 ч.л.:False,творог:500 г.:False,изюм:0.5 стакана:True;выпечка,сладкое
канадский путин;60;В средней кастрюле на небольшом огне растопите сливочное масло. Вмешайте муку в масло и готовьте, постоянно помешивая, до золотистого цвета, около 2-х минут. Постепенно влейте в кастрюлю говяжий и куриный бульон, перемешайте все ингредиенты до однородной массы. Добавьте рыбный и соевый соус, доведите до кипения, затем снизьте огонь и готовьте ароматный бульон в течение 10-15 минут. Снимите ароматную заправку с огня, добавьте рисовый уксус и приправьте соус солью. Поместите картофель фри в неглубокую миску, сверху щедро посыпьте сыром и заправьте приготовленной горячей ароматной подливкой. Подавайте канадский путин сразу же после приготовления.;картофель:фри - 1 кг.:False,сыр:350 г.:False,бульон говяжий:400 г.:False,бульон куриный:200 г.:False,масло сливочное:50 г.:False,мука:20 г.:False,уксус:2 ч.л.:False,соус рыбный:2 ч.л.:False,соевый соус:2 ч.л.:False,соль:по вкусу:False;перекус,овощи
каша рисовая;30;В сотейнике смешайте сливки с молоком и цедрой, снятой с половины апельсина. Стручок ванили разрежьте вдоль, соскребите ножом внутренности и вместе со шкуркой бросьте их в молоко со сливками. Доведите до кипения, засыпьте рис, уменьшите огонь и, периодически помешивая, варите до готовности (на это уйдет 15–18 минут). Помешивать обязательно, потому что рис иначе станет опускаться на дно и пригорать. Как только рис будет готов, вмешайте сгущенное молоко, вытащите ваниль и снимите с огня. Дайте каше чуть остыть, положите кусочек сливочного масла, чуть перемешайте и подавайте. Сверху можно выложить дольки апельсина, очищенные от шкурки и пленок.;молоко:340 мл.:False,сливки:160 мл.:False,рис:60 г.:False,масло сливочное:40 г.:True,молоко сгущеное:120 г.:False,ваниль:по вкусу:True,апельсин:1 шт.:True;завтрак,каша
гурьевская каша;40;Чернику смешайте с сахаром, оставьте на несколько часов. Отварите манную кашу на сливках с добавлением ванили. Сухофрукты мелко нарубите. Молоко налейте в широкую кастрюлю и поставьте в разогретую до 160 градусов духовку. Томите до тех пор, пока не появится пенка. Снимите ее шумовкой и переложите на плоское блюдо. Так же приготовьте еще 4 пенки. На дно кастрюли выложите слой черники. Затем — слой манки. Следующий слой — сухофрукты, затем пенку и затем снова чернику и так далее. Последний слой каши засыпьте сахарным песком по вкусу. Поставьте форму в духовку и готовьте до образования на поверхности карамели при 170 градусах. Выньте форму из духовки. Кашу украсьте сухофруктами.;крупа манная:200 г.:False,черника:200 г.:True,сахар:100 г.:False,сливки:400 мл.:True,молоко:600 мл.:False,сухофрукты:100 г.:True;завтрак,каша
луковый суп;60;В большой толстостенной кастрюле растопите сливочное масло и отправьте туда лук, нарезанный полукольцами. Обжарьте, помешивая, пока он не станет прозрачным. Сделайте огонь потише и продолжайте жарить лук, время от времени помешивая и следя, чтобы он не подгорал. Цель — добиться карамельного оттенка лука и не пережаренной, а мягкой, почти невесомой консистенции. Слегка обжарьте на сухой сковороде муку. Как только мука начнет менять цвет и пахнуть жареным орехом, тут же всыпьте ее в кастрюлю с луком и тщательно вмешайте в лук. Теперь остается вылить в кастрюлю сначала вино, смешанное с сахаром, дать луку минуту покипеть вместе с вином, а потом разбавить их компанию бульоном (приготовить самостоятельно) или водой — по желанию. Доведите до кипения и варите на очень медленном огне 15–20 минут. Перемешайте и добавьте оставшуюся воду. Доведите до кипения, снимите накипь и варите на медленном огне 15 минут. Разложите куски багета на противне и посыпьте их тертым сыром. Поставьте в духовку на 3–4 минуты, чтобы сыр расплавился и слегка подрумянился. Подавайте суп в глубоких тарелках с плавающими и постепенно набухающими гренками.;масло сливочное:50 г.:False,лук репчатый:4 шт.:False,мука:1 ст.л.:False,вино белое сухое:200 мл.:False,сахар:1 ч.л.:False,бульон куриный:1.5 мл.:False,багет:1 шт.:False,сыр грюйер:150 г.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;суп,обед,овощи
зразы;20;Вначале приготовьте картофельную массу. Для этого очищенный картофель сварите, обсушите, протрите горячим. Затем охладите до 40–50 градусов, вбейте яйцо и хорошо перемешайте. Для фарша репчатый лук нарежьте соломкой, пассеруйте и соедините с рублеными яйцами, нарезанной зеленью петрушки, солью и молотым перцем. Картофельной массе придайте форму лепешки, на середину положите фарш, соедините края и панируйте в сухарях, придавая форму кирпичика с овальными краями. Подготовленный полуфабрикат положите на разогретый с жиром противень, обжарьте с обеих сторон и доведите до готовности в жарочном шкафу. Зразы положите на тарелку или порционное блюдо, полейте сливочным маслом или маргарином. Сметану или соусы (томатный, сметанный, грибной) подавайте отдельно или подлейте на блюдо. Подавайте по две штуки на порцию.;картофель:1 кг.:False,масло сливочное:35 г.:False,сухари панировочные:100 г.:False,лук репчатый:200 г.:False,яйцо:3 шт.:False,петрушка:30 г.:True,масло растительное:50 мл.:False,сметана:по вкусу:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;ужин,горячее,овощи
запеканка с грибами;60;Картофель очистите, крупно нарежьте и отварите до мягкости в подсоленной воде. Нарежьте лук мелкими кубиками. Грибы нарежьте тонкими ломтиками. В сковороде разогрейте растительное масло и обжарьте на нем лук до золотистого цвета. Добавьте к луку грибы и жарьте, помешивая, 15 минут. Посолите и поперчите. В конце жарки добавьте к грибам мелко нарубленный укроп и чеснок, выдавленный через пресс. Перемешайте, жарьте еще 30 секунд и снимите с огня. Готовый горячий картофель разомните в пюре со сливочным маслом. Добавьте к пюре молоко и яйца. Перемешайте до однородной консистенции. Посолите при необходимости. На дно формы для выпечки высыпьте половину панировочных сухарей, на них выложите половину картофельной массы. На картофель ровным слоем выложите грибную начинку и закройте все оставшимся пюре. Посыпьте запеканку оставшимися сухарями, сбрызните растительным маслом и отправьте в духовку, разогретую до 200 градусов, на 30–40 минут или пока верх запеканки не станет приятного золотистого цвета.;картофель:1 кг.:False,шампиньоны:400 г.:False,лук репчатый: 1 шт.:False,чеснок:2 зубчика:False,яйцо:2 шт.:False,молоко:250 мл.:False,масло сливочное:80 г.:False,укроп:15 г.:True,сухари панировочные:60 г.:False,масло растительное:50 мл.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;горячее,ужин,грибы
запеканка с копченой рыбой;60;Морковь очистите и отварите. Остудите и натрите на крупной терке. Творог измельчите в блендере в однородную массу. Петрушку мелко нарежьте. Рыбу тщательно очистите от костей и разберите на небольшие сегменты. У яиц отделите белки от желтков. Желтки разотрите с творогом, белки взбейте в пышную массу. Добавьте в творог манку и разрыхлитель, хорошо вымесите. Добавьте в творожную массу 2 столовые ложки оливкового масла, зелень, тертую морковь и кусочки рыбы. Перемешайте. Аккуратно вмешайте лопаткой в творожную массу взбитые белки. Посолите, поперчите. Смажьте оставшимся оливковым маслом форму для запекания, выложите в нее творожную массу и отправьте в разогретую до 180 градусов духовку на 25–30 минут. Достаньте из духовки, присыпьте тертым сыром и верните в духовку еще на 10 минут. Подавайте запеканку теплой или холодной.;творог:500 г.:False,рыба горячего копчения:100 г.:False,яйцо:3 шт.:False,сыр:30 г.:False,крупа манная:5 ст.л.:False,разрыхлитель:1 ч.л.:True,петрушка:пучок:True,масло растительное:3 ст.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;горячее,рыба,ужин
треска по-ленинградски;30;Рыбу нарежьте на порционные куски, посолите и поперчите и пока отложите в сторону. Лук нашинкуйте колечками толщиной 4-5 мм и разберите на отдельные целые колечки. Посолите лук и пока отложите его в сторону. Этот прием позволяет вытянуть из луковых колечек влагу. Тогда их проще запанировать в муке. Картофель очистите и отварите в подсоленной воде до полуготовности. Затем остудите его немного и нарежьте кружками толщиной 4-5 мм. Лук обваляйте в муке и обжарьте во фритюре до золотистого колера. Рыбу обсушите бумажными полотенцами и запанируйте в муке. Обжарьте рыбу на хорошо разогретой сковороде до яркого зарумянивания со всех сторон. Картофель обжарьте в обеих сторон до румяной корочки. В форму для запекания уложите кусочки рыбы и отложите их картофелем. Выложите на рыбу и на картофель луковые кольца и поставьте форму в разогретый до 180 ºС духовой шкаф на 12 минут. Готовую рыбу по-ленинградски подавайте украсив зеленью петрушки, маслинами и соленьями.;треска:600 г.:False,картофель:700 г.:False,лук репчатый:200 г.:False,мука:для панировки:True,масло растительное:для жарки:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;горячее,рыба,ужин
рыба по-московски;30;Картофель очистить от кожицы и нарезать кружками. Каждый картофельный ломтик нужно обжарить в растительном масле со обеих сторон до зарумянивания. Рыбное филе посолить и поперчить и обвалять в муке. Обжарить рыбу в раскаленном растительном масле до румяной корочки. На сухой сковороде обжарить шампиньоны, нарезанные дольками. Как только из грибов выпарится лишняя вода, добавьте в грибы немного растительного масла, посолите их, поперчите и жарьте до зарумянивания. Готовые грибы переложите на отдельную тарелку. Репчатый лук нарежьте полукольцами и обжарьте на растительном масле до зарумянивания. Сыр натрите на терке. В сковороде растопите сливочное масло и обжарьте в нем муку 15 г. Добавьте половину сметаны и все хорошо перемешайте, объединив сметану с мукой. Добавьте оставшуюся сметану, посолите и поперчите и доведите соус до закипания, постоянно его помешивая. Как только соус закипит, снимите его с огня. В форму для запекания выложите половину сметанного соуса. В центр формы выложите рыбу. На нее выложите обжаренные грибы. Обложите рыбу со всех сторон обжаренным картофелем. Сверху уложите обжаренный лук и залейте все оставшимся соусом. Присыпьте блюдо натертым сыром и поставьте его в духовку. Запекайте в разогретой до 180 ºС духовке около 15 минут. Как только сыр расплавится и покроется румяной корочкой вынимайте блюдо из духовки. Готовую рыбу по-московски подавайте посыпав рубленной петрушкой.;рыба белая:600 г.:False,картофель:600 г.:False,шампиньоны:200 г.:False,лук репчатый:200 г.:False,сметана:300 г.:False,сыр:60 г.:False,масло сливочное:50 г.:False,мука:15 г.:False,петрушка:20 г.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;рыба,горячее,ужин,грибы
минтай по-сахалински;40;Рыбу нарежьте порционные кусками, сбрызните лимонным соком, посолите и поперчите и дайте промариноваться минут 20-30. Лук нарежьте четвертькольцами, чеснок мелко нарубите. Подготовьте кастрюлю с толстым дном или сковородку. Вложите на дно немного лука и часть сливочного масла. На лук уложите кусочки рыбы и присыпьте их снова луком и чесноком. Так же добавьте немного сливочного масла и уложите поверх снова рыбу. Выложите оставшийся лук, чеснок и сливочное масло. Накройте кастрюлю крышкой и поставьте рыбу на самый маленький огонь. Томите рыбу в кастрюле около часа. Снимите кастрюлю с огня и добавьте к рыбе измельченную петрушку и укроп. Дайте рыбе настояться минут 20 и подавайте к столу. На гарнир можете подать отварной картофель или рис. Можно подать качественный свежий хлеб и соленья. Это действительно очень вкусно.;минтай:1.5 кг.:False,лук репчатый:600 г.:False,чеснок:30 г.:True,масло сливочное:100 г.:True,уксус:15 мл.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;горячее,ужин,рыба
биточки из рыбы;30;Очисти рыбу, очень мелко нарежь и сложи в миску. Добавь рубленый зеленый лук и взбитые яйца, приправь рыбный фарш и перемешай с мукой. Выкладывай биточки ложкой на разогретую сковороду.;рыба:500 г.:False,яйцо:3 шт.:False,мука:3 ст.л.:False,лук зелёный:пучок:True,специи:по вкусу:True;рыба,горячее,ужин
татарский салат;20;С вечера готовим морковь по-корейски и свеклу по-корейски. Делаем картофель пай (ссылка на рецепт чуть выше) или картофель фри. Их также можно найти на рынке, ищите пачки а названием "картофельная соломка" или что-то вроде того. Капусту можно использовать свежую или квашеную - вкусно и так, и так. Мясо желательно брать не жирное. Подойдет нежная и мягкая подкопченная  ветчина, копченая (но не вяленая) говядина, курица или свиная корейка без сала. Капусту шинкуем, мясо нарезаем тонкой соломкой за несколько часов до начала застолья. Затем можно завернуть их по отдельности в пищевую пленку и убрать в холодильник. Подается салат на блюде, все ингредиенты выкладываются порциями как на фото. Емкость с заправкой выставляется в центр блюда. Заправлять салат лучше майонезом. Сразу смешивать все ингредиенты не нужно. Во-первых, так выглядит намного аппетитнее, а во-вторых, картофель быстро размякнет. Удобно блюдо ставить сразу на глубокий салатник. Затем, когда все будут сидеть за столом, останется просто пересыпать все в салатник и смешать. Обещаю, все гости будут в восторге от такого угощения. К тому же, блюдо получается довольно легким, ведь капуста, морковь и свекла почти сырые.;говядина копченая:400 г.:False,морковь по-корейски:200 г.:False,свёкла по-корейски:200 г.:False,капуста:400 г.:False,картофель:200 г.:False,майонез:4 ст.л.:False,зелень:для украшения:True;салат,говядина,обед
салат подсолнух;30;Отвариваем вкрутую яйца (10 минут с момента закипания). Обжариваем на растительном масле промытые и нарезанные шампиньоны около 15 минут. Все остальные ингредиенты нарезаем небольшими кубиками и начинаем выкладывать слоями. Тарелку лучше взять большого диаметра, чтоб поместились и лепестки подсолнуха. Выкладываем куриное филе и лук. Выкладываем грибочки. Они пустили сок на сковороде, так что салат не будет сухим. Если же грибы суховатые, можно предыдущий слой смазать майонезом. Затем выкладываем тертые на крупной терке яйца и хорошенько смазываем майонезом. Сверху натираем на крупной терке сыр. Разравниваем руками, придаем салату округлую форму. В завершении украшаем половинками маслин без косточек, начинаем их выкладывать по кругу от центра. Добавляем лепестки из чипсов.;курица копченая:400 г.:False,шампиньоны:400 г.:False,сыр:300 г.:False,яйцо:3 шт.:False,лук репчатый:1 шт.:False,маслины:0.5 л.:False,чипсы:пачка:False,зелень:для подачи:True;салат,грибы,обед
салат мимоза;30;Яйца отварите вкрутую за 10 минут, картофель и морковь — до готовности. Отдельно натрите на мелкой или средней тёрке белки, желтки, картошку и морковь. Лук нарежьте небольшими кусочками и на пару минут залейте кипятком, после промойте холодной водой. Консервы разомните вилкой и удалите крупные кости. На дно салатника положите немного картошки. Дальше выкладывайте по очереди рыбу, лук, оставшуюся картошку, морковь и белки. После каждого слоя смазывайте майонезом или наносите сеточку из него. Сверху посыпьте желтками. Перед подачей оставьте на пару часов в холодильнике.;яйцо:4 шт.:False,картофель:4 шт.:False,морковь:2 шт.:False,лук репчатый:1 шт.:False,рыбные консервы:250 г.:False,майонез:для заправки:False;салат,обед,рыба
салат гранатовый браслет;30;Яйца отварите вкрутую за 10 минут, курицу, свёклу, морковь и картофель — до готовности. Филе мелко нарежьте. Овощи и яйца натрите на крупной тёрке. Орехи и лук измельчите. Из граната достаньте зёрна. В центр тарелки поставьте стакан. Вокруг него выкладывайте слоями картошку, половину свёклы, морковь, орехи, половину куриного филе, лук, яйца, оставшееся мясо и свёклу. После каждого слоя, кроме орехового и лукового, наносите сеточку из майонеза или просто смазывайте пласты. Аккуратно вытащите стакан. Промажьте салат майонезом, в том числе и внутри кольца. Посыпьте гранатовыми зёрнами.;яйцо:2 шт.:False,курица:200 г.:False,свёкла:2 шт.:False,морковь:2 шт.:False,картофель:3 шт.:False,яйцо:2 шт.:False,орех грецкий:40 г.:False,лук маринованный:1 шт.:False,гранат:1 шт.:False,майонез:для заправки:False;салат,обед
салат с куриной печенью;30;В миске соедините апельсиновый сок и по одной чайной ложке мёда, бальзамического уксуса и оливкового масла. Добавьте соль и перец по вкусу, а затем перемешайте до однородной консистенции. Каждую печёнку промойте, очистите и разрежьте пополам. Посолите и поперчите по вкусу. В сковороде разогрейте оливковое масло и обжарьте кусочки до золотистой корочки. Добавьте остатки мёда и бальзамического уксуса. Как следует перемешайте и тушите ещё пару минут, пока не выпарится уксус. Разделите печень на порции и разложите по тарелкам. Добавьте промытый салат и крупно нарезанные дольки апельсина. Полейте соусом, украсьте семенами кунжута. Подавайте салат тёплым.;сок апельсина:2 ст.л.:False,мёд:2 ч.л.:False,масло растительное:2 ст.л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,печень куриная:300 г.:False,зелёный салат:пучок:False,апельсин:1 шт.:False,кунжут:по вкусу:True;салат,обед
салат из баклажанов;180;Нарежьте баклажаны тонкой длинной соломкой, посолите и оставьте на полчаса. Порежьте перцы тонкой соломкой, а лук — полукольцами. Натрите морковь на тёрке для корейской моркови. Измельчите чеснок. Промойте баклажаны и бросьте на сковороду с разогретым маслом. Обжаривайте, периодически помешивая, около 10–15 минут. Выложите баклажаны и свежие овощи в миску для салата. Добавьте сахар, соевый соус, уксус и приправу для моркови. Тщательно перемешайте и поставьте на 2 часа в холодильник. Перед подачей посыпьте салат рубленой зеленью и кунжутом.;баклажан:2 шт.:False,соль:по вкусу:False,перец сладкий:2 шт.:False,лук репчатый:1 шт.:False,морковь:2 шт.:False,чеснок:4 зубчика:False,масло растительное:2 ст.л.:False,сахар:1 ч.л.:False,соевый соус:2 ст.л.:False,уксус:30 мл.:False,кинза:по вкусу:False,базилик:по вкусу:False,кунжут:1 ст.л.:True;салат,овощи,обед
салат с сёмгой;30;Отварите рис в подсоленной воде. Нарежьте сёмгу небольшими кубиками. Натрите твёрдый сыр на крупной тёрке и смешайте половину с творожным сыром. Добавьте две ложки майонеза и измельчённый укроп и перемешайте. Нарежьте авокадо небольшими кубиками и сбрызните лимонным соком, чтобы они не потемнели. Выложите салат слоями в следующем порядке: половина рыбы, рис, авокадо, творожная смесь, оставшаяся рыба, майонез и твёрдый сыр.;рис:50 г.:False,соль:по вкусу:False,сёмга слабосоленая:200 г.:False,сыр:60 г.:False,сыр творожный:100 г.:False,майонез:по вкусу:False,укроп:по вкусу:True,авокадо:1 шт.:False,лимон:1/2 шт.:False;салат,рыба,обед
салат из свёклы;60;Заверните неочищенную свёклу в фольгу и поместите в разогретую до 200 °C духовку на 45–50 минут. Дайте корнеплоду остыть, снимите кожицу и нарежьте небольшими кубиками. Так же поступите с курицей. Измельчите чеснок. Орехи мелко порубите, слегка обжарьте на сухой сковороде, а потом вместе с солью и майонезом добавьте к подготовленным ингредиентам и перемешайте.;свёкла:3 шт.:False,курица:400 г.:False,чеснок:3 зубчика:True,орех грецкий:65 г.:False,соль:по вкусу:False,майонез:для заправки:False;салат,курица,обед
салат из печени трески;30;Сварите картошку, яйца и морковь. Остудите, почистите, нарежьте кубиками среднего размера, посолите и поперчите. Четвертинку яйца оставьте для украшения. Мелко порубите зелёный лук, огурцы нашинкуйте соломкой. Из банки с печенью слейте масло в отдельную ёмкость. Разомните рыбу вилкой и добавьте 2 столовые ложки масла из консервов. На тарелку выложите салат слоями: картошка, печень трески, большую часть зелёного лука, огурцы и морковь. Каждый слой промазывайте сметаной. Сверху выложите яйца и остатки лука.;картофель:3 шт.:False,яйцо:3 шт.:False,морковь:2 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,лук зелёный:4 стебля:True,огурцы маринованные:2 шт.:False,печень трески:1 банка:False,сметана:4 ст.л.:False;салат,рыба,обед
салат с виноградом;30;Отварите курицу в подсоленной воде до готовности, яйца сварите вкрутую и всё остудите. Небольшими кубиками нарежьте мясо, а чернослив — тонкой соломкой. Натрите на средней тёрке очищенные яйца и сыр. На блюдо выложите половину курицы, сверху распределите половину чернослива и смажьте майонезом. Затем выложите половину сыра, посыпьте частью измельчённых орехов и распределите сверху половину яиц. Смажьте и этот слой майонезом и посыпьте частью орехов. Повторите чередование с оставшимися ингредиентам. Последним слоем должен быть майонез. Разрежьте каждую виноградинку и при необходимости удалите косточки. Выложите ягоды на салат срезом вниз. Поставьте блюдо в холодильник на час.;курица:400 г.:False,соль:по вкусу:False,яйцо:3 шт.:False,чернослив:50 г.:False,сыр:200 г.:False,майонез:для заправки:False,орех грецкий:100 г.:False,виноград:150 г.:False;салат,курица,обед
салат гнездо глухаря;30;Отварите куриные яйца вкрутую за 10 минут, перепелиные — за 4–5 минут, куриную грудку — до готовности. Картошку натрите на тёрке для корейской морковки или нарежьте тонкой соломкой. В сковороде разогрейте масло на среднем огне. Разделите картошку на порции и обжарьте до золотистого цвета за несколько минут. Выложите на бумажные салфетки и остудите. Нарежьте куриные яйца, курицу, лук и огурец небольшими кусочками. Посолите, поперчите и заправьте майонезом. Выложите на тарелку в форме гнезда. Середину посыпьте рубленым укропом и выложите сверху перепелиные яйца. По бокам украсьте салат жареной картошкой.;яйцо:2 шт.:False,яйца перепелиные:3 шт.:False,курица:200 г.:False,картофель:3 шт.:False,масло растительное:3 ст.л.:False,лук репчатый:1 шт.:False,огурец:1 шт.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,майонез:3 ст.л.:False,укроп:для подачи:True;салат,курица,обед
пирог с лисичками;60;Приготовьте тесто: замесите 500 грамм муки, яйца, воду и дрожжи, накройте емкость пленкой и дайте настояться в течение 30 минут в теплом месте. Приготовьте соус-начинку. Обжарьте лук, добавьте лисички, сметану, сливки, сыр, посолите, поперчите и медленно мешайте на среднем огне около 5 минут. Раскатайте тесто, присыпав мукой, выложите охлажденный соус-начинку, защипите тесто по краям и запекайте пирог в духовке 8–9 минут при температуре 210 градусов. Отдельно обжарьте горсть свежих мелких лисичек и выложите на пирог сверху при подаче.;мука:520 г.:False,яйцо:3 шт.:False,вода:100 мл.:False,дрожжи сухие:10 г.:False,лисички:100 г.:False,сметана:40 г.:False,лук репчатый:30 г.:False,сулугуни:30 г.:False,масло сливочное:50 г.:False,сливки:10 л.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;выпечка,грибы
баклажан с фетой;30;Для приготовления томатного соуса потрите на терке помидор, чили и чеснок, добавьте 10 мл оливкового масла, посолите и поперчите по вкусу, хорошо перемешайте. Баклажан разрежьте вдоль и запеките в духовке, разогретой до 190 градусов, до полной готовности. Надрежьте внутреннюю мягкую часть баклажана и выложите туда получившийся томатный соус. Сверху выложите рубленую зелень, нарезанный мелкими кубиками сыр фета, красный лук перьями и каперсы. Посыпьте солью и перцем, полейте оливковым маслом.;баклажан:500 г.:False,сыр фета:100 г.:False,лук репчатый:20 г.:False,каперсы:10 г.:False,кинза:5 г.:False,петрушка:5 г.:False,масло растительное:70 мл.:False,томат:100 г.:False,чили:10 г.:False,чеснок:1 г.:False,соль:по вкусу:False,перец чёрный молотый:по вкусу:False;перекус,закуска,овощи
баклажанная икра;100;Баклажаны нарежьте кубиками, посолите, перемешайте и оставьте на 30 минут. Затем отожмите.  Лук, перец и помидоры нарежьте небольшими кубиками. Морковь натрите на крупной терке. В сковороде разогрейте половину масла, обжарьте баклажаны в течение 10–15 минут, помешивая. Параллельно в другой сковороде обжарьте лук до мягкости, добавьте морковь и сладкий перец, жарьте, помешивая, в течение 10 минут, затем добавьте помидоры и готовьте еще 5 минут. Соедините овощи. Томатную пасту залейте водой, перемешайте и добавьте к овощам, посолите, поперчите и добавьте сахар. Тушите на небольшом огне 30 минут. За 2 минуты до конца добавьте измельченный чеснок. Переложите горячую икру в стерилизованные банки и дайте полностью остыть.;баклажан:500 г.:False,морковь:500 г.:False,лук репчатый:1 шт.:False,перец сладкий:1 шт.:False,томат:200 г.:False,масло растительное:100 мл.:False,томатная паста:70 г.:False,вода:150 мл.:False,чеснок:1 зубчик:False,соль:1 ч.л.:False,сахар:1 ст.л.:False,перец чёрный молотый:по вкусу:False;овощи,перекус,закуска
шакшука;30;Знаменитая израильская яичница, которая вышла из категории завтраков и давно уже является полноценной сытной едой. Помидоры тут должны быть сладкими — они сильно сказываются на вкусе всего блюда в целом.На оливковом масле обжарить измельченный лук до мягкости, добавить измельченный чеснок и нарезанные небольшими кубиками сладкий перец и чили, готовить, помешивая, еще пару минут. Добавить нарезанные небольшими кубиками помидоры, приправить солью, перцем, зирой и паприкой, готовить еще 10–12 минут, пока овощи не станут мягкими. Добавить к овощам нарезанную небольшими кубиками фету, перемешать, разбить в овощи яйца так, чтобы желток остался целым. Отправить сковороду в духовку, разогретую до 180 градусов, на 7–10 минут. Готовую шакшуку посыпать свежей петрушкой и подавать.;яйцо:6 шт.:False,лук репчатый:1 шт.:False,чеснок:1 зубчик:True,перец сладкий:1 шт.:False,томат:500 г.:False,зира:1 ч.л.:True,паприка:1 ч.л.:True,фета:150 г.:False,масло растительное:50 мл.:False,петрушка:10 г.:True,соль:по вкусу:False,перец чёрный молотый:по вкусу:False,чили:1 шт.:True;завтрак
